Action,Notes,title,key,Org,count,Data series ID,Dataset IDs,Dataset Names,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Approved,,UNHCR - Multi-Sector Needs Assessment ,data series,UNHCR - The UN Refugee Agency,1,none|293,1bdc3e19-65bc-4d2f-a2af-bbcdcba1e166,Multi-Sector Needs Assessment (MSNA) - 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Approved,,COD - Subnational Administrative Boundaries,data series,OCHA Field Information Services Section (FISS),115,none|12,3819a593-8f1b-447a-9a9d-15d3f78ad967|3ac9b527-dff2-4b9f-a16e-476aa821896a,Myanmar - Subnational Edge-matched Administrative Boundaries,Myanmar - Subnational Administrative Boundaries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Approved,,COD - Subnational Population Statistics,data series,OCHA Afghanistan,75,none|13,79484094-6e4a-4fbd-9152-66b42a9b32e0,Afghanistan - Subnational Population Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Approved,,UNHCR - Bangladesh - Joint Protection Monitoring,data series,UNHCR - The UN Refugee Agency,1,none|292,8e3f5d48-f12b-47fb-bd33-260113d79d71|86816b8e-6615-48f9-8a6c-0a396f0ad469,Bangladesh - Joint Protection Monitoring - Q3 2023,Bangladesh - Joint Protection Monitoring - Q4 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Approved,,UNICEF Data and Analytics HQ - Sexual Behaviour and HIV,data series,UNICEF Data and Analytics (HQ),16,none|164,807bac51-a0a7-4bd4-89cf-f764b9fc9f62|69b0110e-6adf-4381-8542-89be59e1586c,Reported number of pregnant women presenting at antenatal clinics (ANC) who were tested for HIV or already knew their HIV positive status,Per cent of pregnant women presenting at ANC who were tested for HIV or already knew their HIV positive status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Approved,,UNICEF Data and Analytics HQ - Child Health and Vaccines,data series,UNICEF Data and Analytics (HQ),7,none|163,d2ebd7b7-8e29-4b5f-ba65-98d34e217c15,Estimated number of children and adolescents living with HIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Approved,,UNHCR - Livelihoods Programme Monitoring Beneficiary Survey,data series,UNHCR - The UN Refugee Agency,116,none|5,2ed59b02-063b-4745-82e4-7f0691fe5bdc|a68ba9ab-797f-47ae-bc64-ccd18741f9d1|7156cd1c-7bba-4eab-bdf8-1a73230638a4|7b3444f8-fee6-46d7-b085-7bacc031502d|ffcefa70-049b-43d2-a195-e7aa02a61e6d|40bfa1a6-15e4-4297-a76f-753d84b7d8a6|f92e1693-9f3f-4f62-84f7-59ff897f4d41|951ff99f-a2c9-4906-811f-d889e4f42366|c745d31c-deb6-46eb-9152-2b56006e33ae|ce1e9fbb-3fc7-4952-bc11-e917248b3b72|7e988220-ffc6-4ca9-974c-01d623fe803b|045057fc-2d4d-4bad-8703-3278d03ca896|079a8ca2-fcb7-4e84-a0e9-7327e3d74d44|6ba5357f-45f7-4acf-9227-4170bd113a83|b7239bf1-603b-4cb9-b9cb-05028a7b919f|5d712ed2-3c55-4754-967c-decdc75e1ed6|b1b25cad-f3e0-4d28-9cde-fdf7cb078723|d9df6d7f-2d7c-4a36-a410-bbca714cf3cb|632caf7f-7a22-4b57-9890-821f3dbe3d93|1dce5fba-58f9-46cb-b7f9-d209739e1208|d5cb056e-52f3-432f-96e4-b1366000528e|f401e6b8-44dc-4041-b5b5-658745d03239|208cffb7-cf95-4333-9dad-63e8ab768754|990f3a74-af81-4fc0-84b0-ff52c09d9ce3|c9bd5b1f-c4cf-4ce3-afd8-e26fa03c3a89,"Somalia - Livelihoods Programme Monitoring Beneficiary Survey, 2022","El Salvador - Livelihoods Programme Monitoring Beneficiary Survey, 2022","South Sudan - Livelihoods Programme Monitoring Beneficiary Survey, 2022","Philippines - Livelihoods Programme Monitoring Beneficiary Survey, 2022","Nigeria - Livelihoods Programme Monitoring Beneficiary Survey, 2022","Panama - Livelihoods Programme Monitoring Beneficiary Survey, 2022","Morocco - Livelihoods Programme Monitoring Beneficiary Survey, 2022","Syrian Arab Republic - Livelihoods Programme Monitoring Beneficiary Survey, 2022","South Africa - Livelihoods Programme Monitoring Beneficiary Survey, 2022","Eswatini - Livelihoods Programme Monitoring Beneficiary Survey, 2022","Mauritania - Livelihoods Programme Monitoring Beneficiary Survey, 2022","Jordan - Livelihoods Programme Monitoring Beneficiary Survey, 2022","Kenya - Livelihoods Programme Monitoring Beneficiary Survey, 2022","Ghana - Livelihoods Programme Monitoring Beneficiary Survey, 2022","Costa Rica - Livelihoods Programme Monitoring Beneficiary Survey, 2022","Democratic Republic of the Congo - Livelihoods Programme Monitoring Beneficiary Survey, 2022","Dominican Republic - Livelihoods Programme Monitoring Beneficiary Survey, 2022","Djibouti - Livelihoods Programme Monitoring Beneficiary Survey, 2022","Cameroon - Livelihoods Programme Monitoring Beneficiary Survey, 2022","Chile - Livelihoods Programme Monitoring Beneficiary Survey, 2022","Burkina Faso - Livelihoods Programme Monitoring Beneficiary Survey, 2022","Argentina - Livelihoods Programme Monitoring Beneficiary Survey, 2022","Armenia - Livelihoods Programme Monitoring Beneficiary Survey, 2022","Albania - Livelihoods Programme Monitoring Beneficiary Survey, 2022","Angola - Livelihoods Programme Monitoring Beneficiary Survey, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exclude,"Will be archived, no need",UNOSAT - Gaza Strip Escalation of Hostilities,data series,United Nations Satellite Centre (UNOSAT),6,none|288,3fad842c-4a15-4000-99fd-7a3e669f2dd8|92278420-6cdb-4e7c-9c6c-ff5614a05573|85cb4d3a-b2d5-45bf-a344-21be2c6c33c3|77a948eb-f8cd-4535-8aa6-50f6cc753431|fa8adeae-12ad-47b0-8194-d00edb81a9e2|1c560cc4-b93a-47bf-a5e6-ffa23ebeafb8|75812dd4-7f51-4db3-a89f-7ba0f2e5a0cc|1f3e3cb8-0991-44fc-ad8f-4a823f9e29d1|96c72f68-d1bd-4ea3-8c79-df21183a692b|b9ef3b99-c916-45d6-96fc-7689fceda586|c16baf32-5f22-4fa5-a703-7cc90e7d71c2,UNOSAT Gaza Strip Road Network Comprehensive Damage Assessment - August 2024,UNOSAT - FAO Gaza Strip Cropland Damage Assessment - August 2024,UNOSAT - FAO Gaza Strip Cropland Damage Assessment - July 2024,UNOSAT Gaza Strip 8th Comprehensive Damage Assessment - July 2024,UNOSAT - FAO Gaza Strip Cropland Damage Assessment - June 2024,UNOSAT Gaza Strip Road Network Comprehensive Damage Assessment,UNOSAT Gaza Strip 7th Comprehensive Damage Assessment - May 2024,UNOSAT Gaza Strip Agricultural Damage Assessment - April 2024,UNOSAT Gaza Strip Agricultural Damage Analysis 1km Stretch of Land from the Armistice Demarcation Line - April 2024,UNOSAT Gaza Strip Comprehensive Damage Assessment 1km Stretch of Land from the Armistice Demarcation Line - April 2024,UNOSAT Gaza Strip Comprehensive Building & Housing Unit Damage Assessment - March 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Approved,,UNESCO - Education Indicators,data series,UNESCO,238,none|123,27c4667a-09db-4128-a89c-49dc4870a5e8|2b87a501-17d3-4f86-9305-ff454188f0f5|b8013741-856d-42f1-86d5-4517a58439c4,Eswatini - Education Indicators,Netherlands (Kingdom of the) - Education Indicators,North Macedonia - Education Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Approved,,UNHCR - Post-Distribution Monitoring of Cash-Based Intervention,data series,UNHCR - The UN Refugee Agency,22,none|112,09a6fb32-742c-4a0f-b5bb-df28e55d8129|48466134-1565-4098-8d6f-4e8cb4b4fec1|7c1cbb78-0c3b-4c6d-8227-376f46d6d2e1,Afghanistan - Post-Distribution Monitoring of Cash-Based Interventions 2023,China - Post-Distribution Monitoring of Cash-Based Interventions 2023,Kyrgyzstan - Post-Distribution Monitoring of Cash-Based Intervention 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Approved,,WFP Advanced Disaster Analysis and Mapping - Cyclone Data,data series,WFP Advanced Disaster Analysis & Mapping|WFP Advanced Disaster Analysis & Mapping,1,none|282,3599f96a-6b59-494f-be05-b4441600489e|6f65ef94-a20e-4cc5-9c1e-790cc979264a|3c283ec8-dc26-43cb-a25c-139a80b69daa|d94b7874-8dd0-416f-ad78-476ac36ceb64|bc5ffd34-ab1b-49ae-9bfb-b80898bceb7a|3342649b-1740-40c3-8246-4ed362b28bbc,Jamaica: Cyclone - Category 1 - Jul 2024,Grenada: Cyclone - Category 4 - Jun 2024,Comoros: Cyclone - Tropical storm - May 2024,United Republic of Tanzania: Cyclone - Tropical storm - May 2024,Madagascar: Cyclone - Tropical storm - Mar 2024,Mozambique: Cyclone - Tropical storm - Mar 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Approved,,UNHCR - Protection Monitoring,data series,UNHCR - The UN Refugee Agency,10,none|139,575434f0-e288-42a8-b3a8-832d78280ef6|6112fda5-c827-45b0-99c1-ea501de5bd55|06000e99-a2a7-4aaf-a054-4f6e7f4b0530|c55d3bab-35d5-4cf5-b51c-f5d3f3a6bf65|7065ae4b-2111-445f-a15a-64e1eb6bbf09,Lebanon - Protection Monitoring - Q1 2022,Lebanon - Protection Monitoring - Q3 2022,Lebanon - Protection Monitoring - Q1 2023,Lebanon - Protection Monitoring - Q4 2022,Lebanon - Protection Monitoring - Q2 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Approved,,geoBoundaries - Subnational Administrative Boundaries,data series,geoBoundaries,125,none|97,beee0065-9b4e-4f09-9515-f29317364c9a|5808d2a8-c37e-4380-96eb-5e5d271d4b4e,Türkiye - Subnational Administrative Boundaries,Eswatini - Subnational Administrative Boundaries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exclude,,MIMU - Myanmar Village Points and Boundaries,data series,Myanmar Information Management Unit (MIMU),1,none|279,92d13d49-89e7-4268-9f9b-2ff9931784c2,Myanmar tentative UNESCO World Heritage Sites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Approved,,WorldPop - Age and sex structures,data series,WorldPop,241,none|144,983c74d3-db47-4016-9a58-877036088d9d|76a275d7-d283-4723-86b5-65ea4455ed8c|ffefb8c7-f28b-44e8-b812-fad4ad342603,Netherlands (Kingdom of the) - Age and sex structures,North Macedonia - Age and sex structures,Eswatini - Age and sex structures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Approved,,WorldPop - Pregnancies,data series,WorldPop,161,none|148,43213ad1-08a9-490b-a00a-16502937b5e4,Eswatini - Pregnancies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Approved,,WorldPop - Births,data series,WorldPop,161,none|149,d6250f2b-79c1-45ba-bb4f-9a223dead5e1,Eswatini - Births,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
